author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
Bunnybibimbub,# ถนนสีชมพู,,เมื่อฉันได้รับมอบหมายให้ดูแลคนไข้ที่ส่งตัวเข้ามาในห้องฉุกเฉิน แต่ก็ต้องทำให้ฉันปวดหัวเมื่อเขาพยายามหนีออกจากโรงพยาบาล!,,จบ,,https://i.joylada.net/6187514/writer/5bdd25a60335b000015b8a7c/cover-62163f46-1475-4339-9e72-abe37ee0c074.jpg/thumbnail,,,[END] MY MAFIA AND ME,136.8M จอย
SMILE EYEz,# ทะเลสีเทา | ถนนสีชมพู,,"เรื่องระหว่างฉันกับเขามันเกิดขึ้นเพราะความ ""ผิดพลาด""",,,,https://i.joylada.net/7727653/writer/5ef2ed7edbd9cb0001a596d2/cover-1eff1657-dd61-4a85-a224-a6d37563e1dc.jpg/thumbnail,,#Taelice,Mistake Love : พลาดรัก ,29.2M จอย
MU.MINHa,# ถนนสีชมพู,,ข้างบ้านที่มาใหม่ทำไมมันใหญ่จังวะ เฮ้ย!ไม่สิ ทำไมถึงสวยขนาดนี้ ผมคนนี้อยากรู้จักจังครับ...,,จบ,,https://i.joylada.net/12491757/writer/5e7c8b5f70362a0001c16056/cover-ec82f496-8aa9-44c4-b7e1-f82977834718.jpg/thumbnail,,"#ข้างบ้านสุดโหด,#ผัวเด็ก,#เทย์",ข้างบ้านสุดโหดอยู่ในโหมดขี้อ่อย,7.5M จอย
มินนี่เมาส์มิกกี้เมาส์สีม่วง💜🐹,# ทะเลสีเทา | ถนนสีชมพู,,เเค่คนอุ้มท้อง ที่มี้ส่งมาเเค่นั้น............. { คําไหนผิดทักได้จ้า ถึงจะเเก้เเล้วรึยังไม่เเก้ },,จบ,,https://i.joylada.net/12330939/writer/5d7396ae188d400001c0c890/cover-bee8116b-ac71-4a0b-bfdc-a2ab78a53b93.jpg/thumbnail,,"#เเค่คนอุ้มท้อง,#Crazylove,#มาเฟีย,#เเค่มีลูกก็จบ,#รักนะคุณมาเฟีย,#มินนี่เมาส์มิกกี้เมาส์สีม่วง",คนอุ้มท้อง🤰🏻                     {ช่วงเเก้คําผิด},44.4M จอย
KIMXIUAH_88O9​,# ท่าเรือสีรุ้ง,,......,,จบ,,https://i.joylada.net/16262240/writer/5de3ce32b775560001f7c982/cover-14f4a58d-0157-47f3-b685-83cd9fa53e97.jpg/thumbnail,,"#เคะท้อง,#เคะท้องได้,#mpreg,#นังเลง,#มาเฟีย,#กระต่ายสีเทา🐰",Gangster x Gangster,26.9M จอย
Sokumu ,# ท่าเรือสีรุ้ง,,"""อยากได้เลขามาเป็นสามี"" 🌶 : เรื่องนี้แซ่บ พริก10เม็ดก็ไม่พอ😏 *ขอรีวิวสัก 10+ เพื่อความแซ่บได้ไหม🥺*",,จบ,,https://i.joylada.net/24379083/writer/5ec27a0f12c93500012d6163/cover-a6f4da39-dbb7-4755-b82d-c57d7b4d4ce9.jpg/thumbnail,,"#คริสสิง,#คริสสิงโต,#สิงคริส,#พีรญา",ประธานเท่ากับเมีย | พีรญา,2.2M จอย
jibjib562,# ทะเลสีเทา | ฟีลกู๊ดคาเฟ่,,ที่ผมยังทน เพราะรักพี่.. ความรักที่แสนเจ็บปวด ทำให้ผมต้องเปลี่ยนตัวเอง,,จบ,,https://i.joylada.net/10486062/writer/5ced8939862a0c0001d88f1d/cover-7f5ae24a-3b5b-4d7d-a2b0-8a5b65feaad2.jpg/thumbnail,,,💔รักร้าว💔,24.3M จอย
Is'real,# ทุ่งลิลลี่,,L: กลิ่นที่...น่าหลงไหล J : 😏,,จบ,,https://i.joylada.net/17547376/writer/5def11f2b775560001019cd8/cover-1cecbd23-9f7f-4538-953d-de977009fe3e.jpg/thumbnail,,"#jenlisa,#jennie,#lisa",หลงเธอ🌚 | jenlisa,34.4M จอย
HW/\NG.,# ทุ่งลิลลี่,,:ก็เพื่อนกันไง มันจะอะไรนักหนาวะ :เพื่อนไม่นอนกับเพื่อนอิควาย! : ...,,จบ,,https://i.joylada.net/10537904/writer/5c179ccf0335b00001baeaff/cover-5d470a6e-fcee-412a-a431-48ae6fcdb476.jpg/thumbnail,,"#Jenlisa,#เพื่อนกันมันบาง,#JENNIE,#LISA,#BLACKPINK",เพื่อนกันมันบาง | JENLISA,92.8M จอย
หอหมื่นอักษร,# สำนักพู่กันจีน,,,,,,https://i.joylada.net/cover/tunwalai/5fa21e4de15b5e08c48e4526_edit.jpg/thumbnail,,"#นิยายแปล,#จื่อหันมั่ว,#จีนปัจจุบัน,#โรแมนติก,#ดราม่า,#กุยหลิงลู่,#ฟั่นอวี๋ยวน",บันทึกรักอบอุ่นหัวใจ,4.4M จอย
•Bubble tea•🧋,# ถนนสีชมพู | ทะเลสีเทา,,ฉันมีความฝันของตัวเอง แต่ต้องมาเป็นเลขาให้ผู้ชายปากร้ายซึ่งฉันก็อดทนเพื่อรอปฏิหาริย์ที่จะได้พบคนที่ฉันรักอีกครั้งฉันยอมทำทุกอย่างแม้จะต้องทรยศใครก็ตาม,,จบ,,https://i.joylada.net/21994442/writer/5dee42eab775560001b7d833/cover-a4f1d714-640c-4400-b4bf-750394f68a52.jpg/thumbnail,,"#เลขา,#โรแมนติก,#พระเอกเย็นชา,#เจ้านาย,#หล่อ,#เย็นชา,#บอส,#นิยายรัก,#ความรัก,#ดราม่า",My love secretary เลขารักของนายตัวร้าย,279.2M จอย
seamoonJL🌙,# ทุ่งลิลลี่,,J : “ปูปู เพื่อนเขาจูบคอกันได้ด้วยหรอ ? “ L : “เออหน่าเจเจ..เพื่อนเค้าก็ทำกันแบบนี้แหละ”,,จบ,,https://i.joylada.net/18700342/writer/5cb10c497cda0b00011e6f44/cover-5f507462-78b4-486f-88ad-aed997dc8adb.jpg/thumbnail,,"#,#เจเจปูปู,#Jenlisa,#Jennie,#Lisa,#BlackPink",Like Friends Do #เจเจปูปู,58.6M จอย
สายลมแห่งวาโย.,# ทุ่งลิลลี่,,บอส:พวกคุณต้องหาแฟนให้ได้ภายใน365วัน บอส:ใครทำได้รับเงินจากฉันไปเลย2ล้านบาท //แต่งไว้อ่านเล่น,,จบ,,https://i.joylada.net/19043187/writer/5d46c2ef22aa320001b3762e/cover-fa41f505-949e-4eb4-b473-52c03fef95ef.jpg/thumbnail,,"#BNK48,#โมแก้ว,#นํ้าหนึ่งเนย,#อรตาหวาน,#เฌอสิค,#ปัญเต็น,#ปัญเจนนิษฐ์,#แก้วโม,#นนน",บริษัทรักสุดวุ่น,26.1M จอย
ไอ้ต้าวคะน้าาา🥬💗,# บ้านหรรษา | ถนนสีชมพู,,เรื่องนี้เค้าอยากลองแต่งแนวกวนๆน่ารักๆดูเพราะเค้ารู้สึกว่าถนัดแนวนี้มากกว่า (28/12/63),,จบ,,https://i.joylada.net/10747515/writer/5fe8d7daa6292f0001efaa5c/cover-a2a2550d-9551-4355-95f9-cec9dd84f695.jpg/thumbnail,,"#มิวกลัฟ,#หวานใจมิวกลัฟ,#MEWGULF,#mewgulf,#MewGulf",กวนตีนหรอ ✓ MewGulf,652.2K จอย
Is'real,# ทุ่งลิลลี่,,L : เด็ก15 ทำไมมันแรดแบบนี้วะ!! J : ครูพี่แอลอย่าดุหนู....,,จบ,,https://i.joylada.net/17547376/writer/5e5a10290087d600015b11ff/cover-56ae27aa-9081-4884-9106-d95caebd315d.jpg/thumbnail,,"#jenlisa,#jennie,#lisa",น้องไม่ได้แรด🌚 |Jenlisa,18.2M จอย
แจ๊คสันเรียกสามีนี่ไม่เล่นนะจะเอาจริงๆ,# ทะเลสีเทา | ถนนสีชมพู,,ถ้าเราพลาดมีอะไรกับคนไม่รู้จักครั้งแรกแล้ว จะมีครั้งต่อไปมั้ย เพราะอะไร,,จบ,,https://i.joylada.net/20648314/writer/5e67058f61b28f0001b53aec/cover-029f94ab-4177-44f5-b319-4719d9642f31.jpg/thumbnail,,"#badguy,#ใจร้าย,#onenightstand",Bad guy.รักคนใจร้าย,270.8K จอย
อัศวินชมพู(Pinkknight),# ท่าเรือสีรุ้ง,,โต้ โลจิสติกส์ VS บลู ยานยนต์ ใครจะwin ใครจะ lose ติดตามได้ Adversary คู่อริ,,จบ,,https://i.joylada.net/7926720/writer/5e162ebc4fdc91000199b328/cover-1d5e03dc-bd88-48b7-b00d-70e12de99328.jpg/thumbnail,,"#mpreg,#yaoi,#ท้องได้,#วิศวะ,#อริ,#คู่อริ,#18",[โต้ VS บลู] Adversary คู่อริ(Mpreg),11.5M จอย
