,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_j,ratingHashReview_j,ratingAccountReview_j,ratingNoTweet_q,ratingHashReview_q,ratingAccountReview_q,ratingTwitter3_j,ratingTwitter4_j,ratingTwitter3_q,ratingTwitter4_q,ratingLike_j,ratingLike_q,ratingView_j,ratingView_q,ratingWebsite_j,ratingWebsite_q,finalRating1,finalRating2,finalRating3,finalRating4
371,Noonaa(?????),????? Boy Love Secret Room,"3,677",???????????????????????? ???????????????????????????? ????????????????????????????????? ????????????,"8,138",??,16,https://cdn.readawrite.com/articles/2286/2285296/thumbnail/,1294,"??????????????????,Boy Love/Yaoi,18+,????????,?????????????,???",??????????? ?????????????????? (BL) #????????????,316508,?????????????????????????????,????????????,16,3,0,1,2,3,4,1.7,3.8,2,1.8,3.2,3.4,3,5,2,5,2.3,5,4.3,3.6,3.8,3.9
1003,littleskyofme,????? Boy Love Lovely Room,"3,696","""??????????????????????????? ??????????????????????????????""","4,308",??,29,https://cdn.readawrite.com/articles/1909/1908897/thumbnail/,874,"Yaoi,?????,????????,?????,?????????,?????,???????????,????,????????,??????,??????????",#??????????,192582,,??????????,16,2,0,1,2,2,4,1.7,2.5,1.7,1.5,2.7,3,2,5,2,5,2,5,4.3,3.6,3.5,3.7
227,??????????????? (Dai),????? Boy Love Secret Room,"6,399","""??????????????""","8,981",??,32,https://cdn.readawrite.com/articles/2170/2169850/thumbnail/,1501,"Boy Love/Yaoi,????????,18+,?????????????",[Pre-Order 1/1/2021-/2/2021] #???????????????,555251,,???????????????,12,0,0,1,2,2,4,1.7,1.3,1.7,1.5,2.3,2.8,3,5,2,5,2.3,5,4.3,3.6,3.2,3.5
318,oiimaps,????? Boy Love Lovely Room,"2,593",?????????????????? ???????????????????????????????,"10,347",??,0,https://cdn.readawrite.com/articles/2243/2242693/thumbnail/,2080,"oiimaps,????????,??????,Boy Love/Yaoi,omegaverse",#?????? (omegaverse),52086,,??????,10,0,0,1,2,2,4,1.7,1.3,1.7,1.5,2.3,2.8,3,5,1,5,1.7,5,4.3,3.6,3.2,3.5
417,Littlepig,????? Boy Love Lovely Room,475,In sickness and in health.,"3,182",??,2,https://cdn.readawrite.com/articles/2279/2278007/thumbnail/,303,"18+,Boy Love/Yaoi,Mpreg,??????,????????",[Omegaverse] Something Old (#???????????),24497,,???????????,11,0,0,1,2,2,4,1.7,1.3,1.7,1.5,2.3,2.8,1,5,1,5,1,5,4.3,3.6,3.2,3.5
694,summer december,????? Boy Love Lovely Room,998,???????????????????? ??????????????????? ?????????? ??????????? ?????????? ???????????????? ????????,"2,118",??,15,https://cdn.readawrite.com/articles/1598/1597327/thumbnail/,417,"Boy Love/Yaoi,????????",the chemistry | #???????,61645,,???????,10,0,0,1,2,2,4,1.7,1.3,1.7,1.5,2.3,2.8,2,5,1,5,1.3,5,4.3,3.6,3.2,3.5
1027,Howlsairy,????? Boy Love Secret Room,"1,834","""??????????????????????"" ""????? ????????????????"" ""??????????????????????????????????"" ""...???""","3,029",??,19,https://cdn.readawrite.com/articles/1890/1889412/thumbnail/,682,????????????????,#????????????????,84675,,????????????????,14,0,0,1,2,2,4,1.7,1.3,1.7,1.5,2.3,2.8,2,5,1,5,1.3,5,4.3,3.6,3.2,3.5
805,Miaizu,????? Boy Love Secret Room,12,????????????????? ???????????????????????,18,??,1,https://cdn.readawrite.com/articles/1737/1736923/thumbnail/,7,"Boy Love/Yaoi,18+,????????,???????,?????????????????",PROJECT FANFICTION #???????,477,,???????,168,0,0,3,2,2,5,1.7,1.3,2.3,2.5,2.7,3.2,1,3,1,3,1,3,4.3,3.2,2.8,3.1
926,ADALUCKY,????? Boy Love Lovely Room,154,????????????'???????????????'?????????????????????????????'??????????'??????????????????????????????,296,??,30,https://cdn.readawrite.com/articles/1802/1801690/thumbnail/,38,"??????????????,???????,??????????????,??????????????,????????,??????,??????",?????????????????????? #??????????????,9833,??????????????????????,??????????????,12,0,2,1,3,2,4,3.3,1.3,2,1.8,2.9,3.2,1,4,1,5,1,4.7,4.2,4,3.5,3.7
962,Gun0303,????? Boy Love Lovely Room,4,?????????????.?? #????????: ????? Boy Love Lovely Room,8,??,2,https://cdn.readawrite.com/articles/1880/1879469/thumbnail/,3,"????????,Markgun,magusMG",?????????????.?? #????????,1027,?????????????,????????,45,0,0,2,2,2,5,1.7,1.3,2,2,2.7,3.2,1,2,1,3,1,2.7,4.2,3.1,2.7,3
