,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
3685,น้องวานน่ารัก,นิยาย Girl Love/ Yuri,3,น้ำตาที่เลืองลาง: นิยาย Girl Love/ Yuri,1.0,จบ,1.0,https://cdn.readawrite.com/articles/2016/2015582/thumbnail/small.gif,3.0,,น้ำตาที่เลืองลาง,https://www.readawrite.com/a/z1c0d2,278,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3686,K-ziz,นิยาย Girl Love/ Yuri,157,เทียร์ พึ่งจะถูกแฟนบอกเลิก ก็เลยเฮิร์ตหนัก ไปดื่มเหล้าเมามาย แล้วตื่นมาพบกับความจริงที่ว่า ผู้หญิงที,278.0,จบ,33.0,https://cdn.readawrite.com/articles/2016/2015763/thumbnail/small.gif,56.0,"ดราม่า,Girl Love/Yuri,Yuri,หญิงรักหญิง,18+",เทียร์ของเทียน,https://www.readawrite.com/a/z1c0i8,39512,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
3687,K.C.,นิยาย Girl Love/ Yuri,238,เมื่อเธอเกิดเป็นติ่ง แต่ดันไม่มีเงินเปย์สาว จะไปวิ่งราวเขาก็กลัวจะโดนจับ งั้นไปเป็นนางแบบละกัน ได้เง,172.0,จบ,36.0,https://cdn.readawrite.com/articles/2016/2015201/thumbnail/small.gif,56.0,"Girl Love/Yuri,นิยายโรแมนติก,ตลก,Yuri,หญิงรักหญิง,นิยายรัก",Be My Muse E-book มาแล้ว,https://www.readawrite.com/a/z1c026,18999,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
3688,ไร้แสงแห่งตะเกียง,นิยาย Girl Love/ Yuri,18,เวลาปกติเธอมีสถานะเป็นเจ้านาย เวลาเซ็กส์เธอคือทาสชั้นดีของสาวใช้,124.0,จบ,1.0,https://cdn.readawrite.com/articles/2016/2015325/thumbnail/small.gif,15.0,"Erotic,Girl Love/Yuri,Yuri,ดราม่า",คุณหนูทาส(yuri bdsm),https://www.readawrite.com/a/z1c05p,3095,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
3689,คนที่ไม่มีความรู้สึก,นิยาย Girl Love/ Yuri,81,""" เพราะเธอนั้นแหละ ฉันถึงมาตกอยู่ในสภาพแบบนี้ "" "" เอ่า แล้วใครบอกให้เจ๊กระโดดตามฉันลงมาห๊ะ"" ",213.0,จบ,5.0,https://cdn.readawrite.com/articles/2017/2016731/thumbnail/small.gif,39.0,"มาเฟีย,ตลก,ตีกันไปรักกันไป,Girl Love/Yuri",บ้าเอ้ย! ดันมาติดเกาะกับยัยเจ๊ปากจัด,https://www.readawrite.com/a/z1c1av,4531,,,,,,0.0,0.0,4.0,3.0,4.0,3.7,2.2,2.3,2.8,2.9,3.7,3.6
3690,Kwang_April​,นิยาย Girl Love/ Yuri,169,อย่างเกรซอะ เขาไม่ได้เรียกว่าเจ้าชู้...เขาเรียกว่าบริหารเสน่ห์​ เรื่องที่ 2,146.0,จบ,20.0,https://cdn.readawrite.com/articles/2018/2017489/thumbnail/small.gif,62.0,"นิยายYuri,kwang_april",รับได้ไหม...ถ้าพี่เป็นเพลย์บอย [YURI]​,https://www.readawrite.com/a/z1c1wj,23276,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
3691,ว่างเว้น//,นิยาย Girl Love/ Yuri,38,"""ฉันหวงของทุกอย่างที่เป็นของๆฉัน.. รวมถึงยัยนี่ด้วย""",175.0,จบ,4.0,https://cdn.readawrite.com/articles/2018/2017932/thumbnail/small.gif,25.0,"Girl Love/Yuri,นิยายรัก,18+",หวงรัก..ชาลิสา,https://www.readawrite.com/a/z1c2a7,3741,,,,,,0.0,0.0,3.0,3.0,4.0,3.3,2.0,2.1,2.5,2.6,3.3,3.3
3692,กล,นิยาย Girl Love/ Yuri,18,ถ้าจะน่ารักขนาดนี้ กัดคอกันเลยดีกว่า,56.0,จบ,5.0,https://cdn.readawrite.com/articles/2019/2018109/thumbnail/small.gif,15.0,,ซอมบี้ผู้เป็นที่รัก,https://www.readawrite.com/a/z1c2f9,3513,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
3693,ฉันรักตัวประกอบ,นิยาย Girl Love/ Yuri,5,“ฉันเกลียดเธอ”,30.0,จบ,1.0,https://cdn.readawrite.com/articles/2018/2017843/thumbnail/small.gif,5.0,"Girl Love/Yuri,18+,เเม่เลี้ยง​,ลูกเลี้ยง",ยัยลูกเลี้ยงโรคจิต,https://www.readawrite.com/a/z1c27n,547,,,,,,0.0,0.0,2.0,1.0,2.0,1.7,1.0,1.0,1.2,1.3,1.7,1.6
3694,KingT,นิยาย Girl Love/ Yuri,5,เธอซื้อฉันขาย บริการถึงใจรับประกัน ,22.0,จบ,0.0,https://cdn.readawrite.com/articles/2020/2019273/thumbnail/small.gif,5.0,"เล้านางโลม,ซ่อง",เล้านางโลม|Yuri,https://www.readawrite.com/a/z1c3di,297,,,,,,0.0,0.0,2.0,1.0,2.0,1.7,1.0,1.0,1.2,1.3,1.7,1.6
3695,KingT,นิยาย Girl Love/ Yuri,6,เธอคือเฮโรอีนชั้นดี,34.0,จบ,1.0,https://cdn.readawrite.com/articles/2020/2019110/thumbnail/small.gif,5.0,"Yuri,ยูริ,คุณเกว,น้องสาม",เสพ(คุณ)เกว|Yuri,https://www.readawrite.com/a/z1c38u,1016,,,,,,0.0,0.0,2.0,2.0,2.0,2.0,1.2,1.3,1.5,1.6,2.0,2.0
3696,ชาเย็นหวานน้อย,นิยาย Girl Love/ Yuri,387,ความรักเป็นสิ่งมหัศจรรย์ มันเกิดก่อเกิดขึ้น และเติบโตขึ้นในหัวใจก่อนที่เราจะรู้ตัวด้วยซ้ำ ,364.0,จบ,64.0,https://cdn.readawrite.com/articles/2021/2020471/thumbnail/small.gif,93.0,,(Yuri) My Day โลกทั้งใบของฉันหยุดหมุนเพราะเธอ,https://www.readawrite.com/a/z1c4cq,54162,,,,,,0.0,0.0,4.0,5.0,4.0,4.3,2.6,2.8,3.2,3.4,4.3,4.4
3697,Mintflavor,นิยาย Girl Love/ Yuri,19,เธอคือปีศาจหรือนางฟ้าตกสวรรค์ที่โดนพระเจ้าสาปกันแน่นะ,61.0,จบ,2.0,https://cdn.readawrite.com/articles/2021/2020629/thumbnail/small.gif,17.0,"Misana,jeongsa,JEONGMI,มิซานะ,จองซา,จองมิ,นิยายแฟนตาซี",Luciela #อสูรลูเซียล่า,https://www.readawrite.com/a/z1c4h9,1253,,อสูรลูเซียล่า,,,,0.0,0.0,3.0,2.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.6
3698,ณลัน,นิยาย Girl Love/ Yuri,49,เรื่องราวแนว Pre-Apocalypse ,92.0,จบ,6.0,https://cdn.readawrite.com/articles/2021/2020659/thumbnail/small.gif,21.0,"นิยายโรแมนติกแอ็คชั่น,Girl love / Yuri / หญิงรักหญิง,บู๊แอ็คชั่น,เชื้อไวรัสแพร่ระบาด,ไวรัส,วิทยาศาสตร์",Patient Zero - คนไข้หมายเลข 0,https://www.readawrite.com/a/z1c4i4,2854,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
3699,ยุงผี,นิยาย Girl Love/ Yuri,15,คำตอบของฉันคือเธอ,30.0,จบ,5.0,https://cdn.readawrite.com/articles/2022/2021088/thumbnail/small.gif,5.0,จิ้งจอกแมวป่า,คำตอบของฉันคือเธอ | My answer is you,https://www.readawrite.com/a/z1c4ud,1485,,,,,,0.0,0.0,2.0,2.0,2.0,2.0,1.2,1.3,1.5,1.6,2.0,2.0
3700,อรุณสวัสดิ์พระอาทิตย์อันเจิดจ้า,นิยาย Girl Love/ Yuri,403,จะเกิดอะไรขึ้นเมื่ออยู่ๆสาวโสดวัย 50 ตื่นขึ้นมากลับพบว่าตัวเองอยู่ในร่างของใครก็ไม่รู้และที่สำคัญดัน,555.0,จบ,32.0,https://cdn.readawrite.com/articles/2021/2020041/thumbnail/small.gif,157.0,นิยายยูริ นิยายyuri นิยายหญิงรักหญิง,อยู่ดีๆป้าก็มีสามีเป็นผู้หญิง (Yuri),https://www.readawrite.com/a/z1c40g,65671,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
3701,gatto.,นิยาย Girl Love/ Yuri,20,“มีหลายอย่างที่เรายังไม่รู้ และแน่นอนเราอยากให้เธอสอน”,85.0,จบ,3.0,https://cdn.readawrite.com/articles/2024/2023636/thumbnail/small.gif,17.0,"Seulrene,Seulgi,IRENE",how to love | ลองหัดรัก,https://www.readawrite.com/a/z1c6x6,1244,,,,,,0.0,0.0,3.0,2.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.6
