,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
1270,อนุรัก,วรรณกรรม/ดราม่า/เสียดสีสังคม,6,ความเจ็บปวดที่มีอยู่หลายปี ไม่สามารถสื่อสารหรือมีอิทธิพลเท่ากับภาพในไม่กี่วินาที.,2.0,จบ,1.0,https://cdn.readawrite.com/articles/2002/2001080/thumbnail/small.gif,6.0,เสียดสี,คลิปที่ไม่มีภาพ,https://www.readawrite.com/a/z1bnip,306,,,,,,0.0,0.0,5.0,4.0,2.5,3.8,2.3,2.4,2.9,3.0,3.8,3.8
1271,arting...2,วรรณกรรม/ดราม่า/เสียดสีสังคม,1,เรื่องนี้ เรื่องสั้น 4 ตอน จบ ดราม่า (อย่าหวัง)คือคำใบ้ที่ไรท์มอบให้ผู้อ่านนะคะ มาทายเล่นๆกันได้ ,2.0,จบ,1.0,https://cdn.readawrite.com/articles/2002/2001622/thumbnail/small.gif,0.0,,ตัดใจ ให้ไกลเธอYAOI|BL,https://www.readawrite.com/a/z1bny7,58,,,,,,0.0,0.0,1.25,1.0,2.5,1.6,1.0,1.0,1.2,1.2,1.6,1.6
1272,เด็กมายา,วรรณกรรม/ดราม่า/เสียดสีสังคม,2,เรื่องทุกอย่างเกิดขึ้น ในชีวิตจริงของฉัน ฉันหวังว่ามันจะช่วยทุกคนได้บ้าง,0.0,จบ,3.0,https://cdn.readawrite.com/articles/2004/2003684/thumbnail/small.gif,1.0,"นิยายชีวิต,นิยายวัยรุ่น,นิยายแฟนตาซี",เรื่องเล่าจากชีวิต,https://www.readawrite.com/a/z1bpn4,66,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
1273,NamchoLj,วรรณกรรม/ดราม่า/เสียดสีสังคม,1,เขาเรียกกันว่าเรื่องสั้นๆ,2.0,จบ,3.0,https://cdn.readawrite.com/articles/2004/2003821/thumbnail/small.gif,1.0,,เปราะบาง | #วรรณกรรม,https://www.readawrite.com/a/z1bpr1,230,เปราะบาง,วรรณกรรม,39.0,0.0,0.0,5.0,2.5,1.25,3.0,2.5,2.2,2.8,2.8,2.9,2.9,2.2,2.3
1274,LA.lynx,วรรณกรรม/ดราม่า/เสียดสีสังคม,1,อันนี้เป็นงานที่เรากับเพื่อนช่วยกันแต่งเพื่อส่งอาจารย์แต่เห็นว่าเนื้อเรื่องน่าสนใจดีเลยเอามาลงคับ555,1.0,จบ,1.0,https://cdn.readawrite.com/articles/2004/2003992/thumbnail/small.gif,1.0,ขนนกกับฤดูหนาว,ขนนกกับฤดูหนาว,https://www.readawrite.com/a/z1bpvw,93,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
1275,อัศวินคอตก,วรรณกรรม/ดราม่า/เสียดสีสังคม,20,เมื่ออันธพาลและประธานนักเรียนตื่นขึ้นมาในร่างที่มีบุคลิกต่างกันกับตัวเองสุดขั้ว สังคมใหม่ที่ไม่คุ้นเ,37.0,จบ,23.0,https://cdn.readawrite.com/articles/2004/2003071/thumbnail/small.gif,11.0,"นิยายแฟนตาซี,สลับร่าง,สงคราม,โรงเรียน,ผจญภัย,วาย,ยูริ,การเมือง,ดราม่า,เสียดสี,สังคม,ชีวิต,ฟิคสลับขั้ว",Anode Cathode: Two Shades of The Islands,https://www.readawrite.com/a/z1bp5l,1343,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1276,อนุรัก,วรรณกรรม/ดราม่า/เสียดสีสังคม,7,การเป็นผัวคน ต้องเป็นคนที่มีความรอบคอบในการปกครองสมผู้นำ จึงจะพาครอบครัวไปตลอดรอดฝั่ง อันเป็นขุมพลัง,3.0,จบ,14.0,https://cdn.readawrite.com/articles/2004/2003056/thumbnail/small.gif,4.0,เสียดสี,วิทยานิพนธ์เรื่องผัวชั้นดีนั้นควรเป็นอย่างไร?,https://www.readawrite.com/a/z1bp56,251,,,,,,0.0,0.0,3.75,3.0,2.5,3.1,1.8,1.9,2.3,2.4,3.1,3.0
1277,.26eft★,วรรณกรรม/ดราม่า/เสียดสีสังคม,5,เรื่องราวของผู้ที่อยากเป็นแมวที่อาศัยอยู่บนดาวแมวแห่งความสุข,3.0,จบ,1.0,https://cdn.readawrite.com/articles/2005/2004575/thumbnail/small.gif,5.0,,ดาวแมวแห่งความสุข,https://www.readawrite.com/a/z1bqdk,473,,,,,,0.0,0.0,3.75,4.0,2.5,3.4,2.0,2.2,2.6,2.7,3.4,3.4
1278,Asia,วรรณกรรม/ดราม่า/เสียดสีสังคม,0, ...คุณเคยรักใครสักคน จนไม่สามารถหาคนอื่นมาแทนที่ได้ไหม...,0.0,จบ,3.0,https://cdn.readawrite.com/articles/2005/2004682/thumbnail/small.gif,0.0,,นิยายเรื่องหนึ่ง,https://www.readawrite.com/a/z1bqgm,66,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
1279,นิวไม่จิ๋ว,วรรณกรรม/ดราม่า/เสียดสีสังคม,2,เมื่อฉันขโมยเงินพ่อแม่มาเปย์ผู้ชายแล้วไม่มีเงินคืน จึงต้องทำอะไรสักอย่างเพื่อหาเงินไปคืนพวกเขาให้ได้,2.0,จบ,1.0,https://cdn.readawrite.com/articles/2006/2005278/thumbnail/small.gif,2.0,"ดราม่า,ชีวิต,ครอบครัว,ความรัก,เรื่องสั้น,สังคม",Stolen,https://www.readawrite.com/a/z1bqxn,1245,,,,,,0.0,0.0,2.5,5.0,2.5,3.3,2.0,2.2,2.5,2.7,3.3,3.4
