,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
262,19august,นิยาย Boy Love Lovely Room,690,"เมื่อมีชีวิตแค่รอวันตาย ทางเดียวที่จะสามารถอยู่ต่อไปได้คือ ""ต้องหาคู่แท้ให้เจอ""","2,205",จบ,26.0,https://cdn.readawrite.com/articles/200/199255/thumbnail/,316,"Boy Love/Yaoi,นิยายรัก",(TIMEVERSE) OTHER HALF #ครึ่งชีวิตของผม |Bodhi Publishing,https://www.readawrite.com/a/iz4mn0,"124,307",,ครึ่งชีวิตของผม
263,Khaosap,นิยาย Boy Love Lovely Room,"2,385",คุณรู้ไหมว่าอะไรคือสิ่งสำคัญที่สุดสำหรับนักเดินทาง... อาจเป็นการค้นพบสิ่งใหม่ๆ อาจเป็นการผจญภัยที่รา,"4,815",จบ,27.0,https://cdn.readawrite.com/articles/298/297134/thumbnail/,824.0,"บันทึกคุณเพื่อน,นิยายโบรแมนซ์,สารคดี",Cookie n Cream #บันทึกคุณเพื่อน,https://www.readawrite.com/a/iz6wjj,"323,765",,บันทึกคุณเพื่อน
264,EMPTY_SKY,นิยาย Boy Love Lovely Room,2,ผมไม่ชอบฤดูฝนสักเท่าไร มันทั้งชื้น ทั้งเเฉะ กลับบ้านก็ไม่ได้ กว่าฝนจะหยุดอีก เฮ้อผมไม่ชอบมันสักเท่าไ,5,จบ,2.0,https://cdn.readawrite.com/articles/265/264195/thumbnail/,1.0,"นิยายรัก,นิยายโรแมนติก,โรงเรียน,Boy Love/Yaoi",I can touch the sky #topsky #ท๊อปนภา,https://www.readawrite.com/a/iz65nf,320,,ท๊อปนภา
265,rolisrose,นิยาย Boy Love Lovely Room,490,‘สิ่งที่มนุษย์ไม่เคยเห็นหรือไม่เคยเชื่อว่ามีจริง…ก็ไม่ได้หมายความว่ามันไม่มี ทั้งเรื่อง,"1,718",จบ,13.0,https://cdn.readawrite.com/articles/336/335293/thumbnail/,197.0,"Boy Love/Yaoi,นิยายแฟนตาซี,นายเงือก,รุยคาชิเออควาไล",YAOI Lost in the ocean #รุยคาชิเออควาไล (ตีพิมพ์กับสนพ. Hermit),https://www.readawrite.com/a/iz7sos,"72,551",,รุยคาชิเออควาไล
266,Melenalike,นิยาย Boy Love Lovely Room,"7,492",ผมขอแค่นั้น,"11,454",จบ,49.0,https://cdn.readawrite.com/articles/386/385695/thumbnail/,"2,143","Mpreg,omegaverse,ขอรักแค่คุณ,นิยายวาย,นิยายโรแมนติก",[omegaverse] Ai Adore You. #ขอรักแค่คุณ,https://www.readawrite.com/a/iz8ytu,"983,332",,ขอรักแค่คุณ
267,Yeoljung Kim,นิยาย Boy Love Lovely Room,153,"เราเป็น ""เพื่อนสนิท"" กัน มันคอยดูแลผมตลอด ไม่ว่าจะไปไหนก็จะตามดูแลเสมอ จนใคร ๆ ก็บอกว่าเราเหมือน ""คู",344,จบ,27.0,https://cdn.readawrite.com/articles/355/354776/thumbnail/,35,"bestfriend,เพื่อนสนิท,ซันมีน,เก่งไอดิน,นิวกันต์",Best Friend เพื่อนสนิท #ซันมีน #เก่งไอดิน #นิวกันต์,https://www.readawrite.com/a/iz89lg,"20,194",เพื่อนสนิท,ซันมีน
268,Avery pie,นิยาย Boy Love Lovely Room,106,กลั้นยิ้มไม่ไหว กลั้นหายใจไม่ให้รักครูว่านก็ยากเหมือนกัน :),537,จบ,2.0,https://cdn.readawrite.com/articles/416/415502/thumbnail/,74,"พี่ธารกลั้นยิ้ม,Boy Love/Yaoi,18+,นิยายโรแมนติก",#พี่ธารกลั้นยิ้ม (YAOI),https://www.readawrite.com/a/iz9o6h,"8,285",,พี่ธารกลั้นยิ้ม
269,Littlepig,นิยาย Boy Love Lovely Room,724,เจ้ปายหนอเจ้ปาย ไม่ได้รู้เลยว่าเทรนเนอร์ที่พี่จ้างมาช่วยผมพิชิตใจผู้ชายในฝันเนี่ยเป็นคนเดียวกับคุณชา,"1,890",จบ,32.0,https://cdn.readawrite.com/articles/481/480376/thumbnail/,273,"18+,Boy Love/Yaoi,นิยายโรแมนติก",{อัพตอน 14 ก.พ. 64}#Newyou สามสิบวันรับประกันคุณคนใหม่,https://www.readawrite.com/a/jzb751,"102,456",อัพตอน,สามสิบวันรับประกันคุณคนใหม่
270,กระต่ายใต้เงาจันทร์,นิยาย Boy Love Lovely Room,34,ภายนอกมาสคอตน่ารักโบกมือทักทายมอบความสุขให้ผู้คนที่เดินผ่านไปผ่านมา แต่ภายในกลับมีเพียงชายร่างเล็กผม,230,จบ,1.0,https://cdn.readawrite.com/articles/519/518763/thumbnail/,25,,My baby mascot #ไออุ่นในมาสคอต,https://www.readawrite.com/a/jzc3gs,"5,305",,ไออุ่นในมาสคอต
271,มนริต้า,นิยาย Boy Love Lovely Room,"5,289",'แอชลีย์ ?' '...' 'นี่คุณ คุณน็อทเหรอ!?' '...โทษทีนะ' '...' แอชลีย์ คิม ไหนบอกว่าเราจะต่างคนต่างอยู่,"9,840",จบ,46.0,https://cdn.readawrite.com/articles/626/625287/thumbnail/,"1,797","Boy Love/Yaoi,นิยายโรแมนติก,Mpreg,omegaverse,แต่งงาน",My Valenthia #วิวาห์ในแดนฝัน (Omegaverse),https://www.readawrite.com/a/jzekfc,"772,860",,วิวาห์ในแดนฝัน
272,Benjitoez,นิยาย Boy Love Lovely Room,10,ทำไมถึงได้ไปรักคนแบบนี้ได้นะ คนที่รักเราทำไมเราถึงไม่รัก บางครั้งชีวิตมันก็ตลกแบบนี้แหละครับ ใครจะคิ,60,จบ,26.0,https://cdn.readawrite.com/articles/628/627357/thumbnail/,7,"Boy Love/Yaoi,วิศวะ,สินกำ,เฟรมปลาทู,ปลาทูสินกำ,เฟรมวิศวะ,สิงห์ทู,18+,20+,25+,ไม่ใช่นิยายFeelGood,คู่เดือน,พี่เเค้ก",แค่...ได้รัก #เฟรมปลาทู [Yaoi],https://www.readawrite.com/a/jzem4h,"5,759",แค่ได้รัก,เฟรมปลาทู
273,พัตเตอร์,นิยาย Boy Love Lovely Room,13,ใครจะไปคาดคิดว่าชีวิตของเฟรชชี่คณะวิศวกรรมศาสตร์อย่าง 'น้องโซ่' จะกลับมาวุ่นวายเพราะคนที่เรียกตัวเอง,62,จบ,15.0,https://cdn.readawrite.com/articles/609/608106/thumbnail/,5,"พี่รหัส,พี่รหัสเจมส์บอนด์,สายรหัส,พัตเตอร์",#พี่รหัส [Yaoi],https://www.readawrite.com/a/jze6eg,"2,619",,พี่รหัส
274,Melenalike,นิยาย Boy Love Lovely Room,"5,130",จนกว่าจะถึงเวลานั้น,"5,543",จบ,26.0,https://cdn.readawrite.com/articles/663/662651/thumbnail/,"1,151",เวฬาหยุดรัก,"[Mpreg] Nevertheless, I still love you. #เวฬาหยุดรัก",https://www.readawrite.com/a/jzffwv,"343,490",,เวฬาหยุดรัก
275,Nigiri-Sushi,นิยาย Boy Love Lovely Room,"17,148",เพราะอยากได้สวัสดิการที่พัก 'พลิน' จึงขอ 'ธิติ' แต่งงาน ธิติตกลงอย่างง่ายดาย พลินเองก็คิดว่าเรื่องมั,"31,973",จบ,27.0,https://cdn.readawrite.com/articles/675/674533/thumbnail/,"7,289","คุณติอร่อยที่สุด,Mpreg,marriage,Feel good",[MarriageMpreg] My Proposal (yaoi) #คุณติอร่อยที่สุด,https://www.readawrite.com/a/jzfpmd,"2,115,952",,คุณติอร่อยที่สุด
276,แจ๊คกี้พี่ว่าไม่ไหว,นิยาย Boy Love Secret Room,44,#คุณดินครับ---: นิยาย Boy Love Secret Room,130,จบ,2.0,https://cdn.readawrite.com/articles/775/774234/thumbnail/,36,คุณดินครับ,#คุณดินครับ---,https://www.readawrite.com/a/jzi20y,"7,605",,คุณดินครับ
