,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
31,zearet17,นิยาย Boy Love Lovely Room,430,พาโชคคือผู้ชายที่ไม่ได้มากับโชคเหมือนชื่อเพราะฉะนั้นเลยถูกเรียกว่าพาซวยอยู่เป็นประจำ พาโชคถือเป็นบุค,"1,747",จบ,23.0,https://cdn.readawrite.com/articles/1198/1197026/thumbnail/,284.0,,Error 403 : เมื่อรักติดบั๊ก | #พาซวย,https://www.readawrite.com/a/bzrw5q,"64,598",เมื่อรักติดบั๊ก,พาซวย
32,shi-en,นิยาย Boy Love Secret Room,6,Heart rocker x skizztv,5,จบ,2.0,https://cdn.readawrite.com/articles/1279/1278720/thumbnail/,2,,แมวน้อยของพี่เอก#เอกเจมส์,https://www.readawrite.com/a/bztstu,422,แมวน้อยของพี่เอก,เอกเจมส์
33,matchty,นิยาย Boy Love Lovely Room,945,1 หล่อ ดีกรีเดือนคณะแต่พร่ำบอกตัวเองว่าเป็นกะเทย 1 สวย ดีกรีคิ้วท์บอยและเป็นตัวรับคนดังของมหา'ลัย สอ,"1,025",จบ,66.0,https://cdn.readawrite.com/articles/155/154382/thumbnail/,162.0,"18+,Boy Love/Yaoi,ดราม่า,นิยายรัก,รักน่ะถูกแล้ว,แม่มณี,matchty",Love Plan รักผิดคิว #รักน่ะถูกแล้ว [YAOI],https://www.readawrite.com/a/bz3l0w,"146,582",รักผิดคิว,รักน่ะถูกแล้ว
34,EPK27Little,นิยาย Boy Love Lovely Room,13,"หึง!...... หวง!...... โหด!...... หื่น!...... 4 คำนี้คือนิยามของผม ""เฮียพอร์ท"" หรือที่อีกคนจะชอบเรียก",84,จบ,0.0,https://cdn.readawrite.com/articles/339/338377/thumbnail/,11,"เฮียหนูโหดบอกต่อด้วย,เฮียหนูข้าวโหด,เฮียพอร์ทต้นข้าว",[Yaoi] เฮียหนูโหดบอกต่อด้วย #เฮียหนูข้าวโหด,https://www.readawrite.com/a/bz7v7w,"1,966",เฮียหนูโหดบอกต่อด้วย,เฮียหนูข้าวโหด
35,BADBAD,นิยาย Boy Love Lovely Room,32,เป่าจิน นายน้อยตระกูลหงส์ถูกบังคับให้แต่งงานกับ ลูกไฟ ทายาทตระกูลมังกรเพื่อช่วยกอบกู้อำนาจหงส์ให้กล,61,จบ,10.0,https://cdn.readawrite.com/articles/384/383786/thumbnail/,12,"ทาสไฟ,ทาสหนูจีน,สาววาย,วาย",► ทาสไฟ [ MPREG / YAOI / BL/ ] #ทาสหนูจีน,https://www.readawrite.com/a/bz8xab,"2,397",ทาสไฟ,ทาสหนูจีน
36,พาวเวอร์เนิร์ดเกิร์ล,นิยาย Boy Love Lovely Room,2,เขาคือ 'ยมทูต' อาศัยร่วมกับเหล่ามนุษย์มาอย่างช้านาน แต่เรื่องยุ่งยากที่เกิดขึ้น ทำให้ 'เดวิด' ต้องย้,8,จบ,1.0,https://cdn.readawrite.com/articles/511/510626/thumbnail/,2,"Boy Love/Yaoi,นิยายรัก,นิยายโรแมนติก,นิยายแฟนตาซี,mrreaper,mr.reaper,ยมทูต,คุณยมทูต,บันทึกรัก,บันทึกลับ,บันทึกลับ(รัก)คุณยมทูต,มิสเตอร์รีปเปอร์",MR. REAPER บันทึกลับ(รัก)คุณยมทูต #มิสเตอร์รีปเปอร์,https://www.readawrite.com/a/czbvtb,484,บันทึกลับ,มิสเตอร์รีปเปอร์
37,Cor cordium (ยอเยล),นิยาย Boy Love Lovely Room,6,ปาเกลียดคณิต แต่ปามีเหตุผลที่บอกใครไม่ได้,13,จบ,1.0,https://cdn.readawrite.com/articles/568/567667/thumbnail/,4.0,"#ใครๆก็เกลียดคณิตศาสตร์กันทั้งนั้นแหละ,#คณิตศาสตร์,#เลข,18+,Boy Love/Yaoi,ตลก,โรงเรียน,นิยายวาย,นิยายวัยรุ่น,คุณครู,นักเรียน,#ปาเกลียดคณิต",ใคร ๆ ก็เกลียดคณิตศาสตร์กันทั้งนั้นแหละ #ปาเกลียดคณิต,https://www.readawrite.com/a/czd8e2,448,ใครๆก็เกลียดคณิตศาสตร์กันทั้งนั้นแหละ,ปาเกลียดคณิต
38,นอนน้อยแต่นอนนะ,นิยาย Boy Love Lovely Room,255,‘ต้องชอบพระจันทร์มากขนาดไหนว่ะถึงได้ชอบสิ่งต่างๆที่เกี่ยวกับพระจันทร์ไปด้วยเนี่ย’ &lsquo,555,จบ,19.0,https://cdn.readawrite.com/articles/659/658857/thumbnail/,85.0,"Boy Love/Yaoi,18+,นิยายโรแมนติก,พระจันทร์พันวา",\'น้องพ่อ\' #พระจันทร์พันวา,https://www.readawrite.com/a/czfcth,"33,659",น้องพ่อ,พระจันทร์พันวา
39,Tenjou_Ume,นิยาย Boy Love Lovely Room,27,"""หากกล่าวถามว่ากระผมรักท่านมากเพียงใด คงต้องตอบว่ารักปานจะฆ่าท่านให้ตาย""",126,จบ,12.0,https://cdn.readawrite.com/articles/684/683674/thumbnail/,11,"Boy Love/Yaoi,18+,ดราม่า,นิยายแฟนตาซี,เลือดสาด,ปวดตับ,เจ้าชาย,นิยายวาย,ยุคกลาง,สงคราม,เวทมนตร์,ปีศาจ,เอลฟ์,การเมือง",Ditopia ทวิภูมิแห่งจุด #มาฆ่ากันเถอะองค์ชาย (Fantasy BL),https://www.readawrite.com/a/czfx3j,"2,498",ทวิภูมิแห่งจุด,มาฆ่ากันเถอะองค์ชาย
40,Noonaa(นูน่า),นิยาย Boy Love Secret Room,927,แวนกัสไม่เคยกลัวปิศาจ แม้มันตัวใหญ่ ผมยาวลากดิน กินคนเป็นอาหาร กระทั่งเขาย้ายมาอยู่ในกระท่อมกลางป่าใ,"1,716",จบ,47.0,https://cdn.readawrite.com/articles/713/712185/thumbnail/,314,"Boy Love/Yaoi,18+,นิยายโรแมนติก,นิยายแฟนตาซี,Mpreg,พระเอกเป็นยักษ์,นิยายวายลึกลับ,นิยายวายท้องได้",(ฟาไฉ) OUTSIDE #ดอกไม้ป่าที่ริมหน้าต่าง (Mpreg),https://www.readawrite.com/a/czgld5,"91,425",ฟาไฉ,ดอกไม้ป่าที่ริมหน้าต่าง
